"record_id","reporting_period_id","reporting_period_label","reporting_period_end","reporting_grain","division","district","geography_label","reporting_units","includes_city_reporting_unit","management_priority","delivery_status","qa_status","overall_attention_status","attention_sort","attention_flag","cross_file_review_status","cross_file_review_flag","facilities","facilities_history","facility_count_gap","trainers","anc_sessions","pnc_sessions","scanu_sessions","general_medicine_sessions","general_surgery_sessions","ncd_sessions","total_sessions_quarter","expected_quarter_sessions","benchmark_session_gap","benchmark_session_gap_rate","total_patients","total_caregivers","total_participants","expected_quarter_participants","sessions_vs_target_rate","qa_coverage_rate","sessions_per_facility","participants_per_session","facilities_per_trainer","patient_share_rate","caregiver_share_rate","target_weighted_numerator","qa_weighted_numerator","any_monitoring_anomaly","threshold_note"
"CURRENT_KHULNA_SATKHIRA","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Khulna","Satkhira","Satkhira, Khulna, Division",1,FALSE,"Routine monitoring","Watch","Watch","Watch",2,1,"Review required",1,6,10,-4,4,61,15,8,17,14,20,135,250.586583,-115.586583,-0.461264053391079,277,273,550,6940.628676,0.762,0.752,22.5,4.07407407407407,1.5,0.503636363636364,0.496363636363636,102.87,4.512,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_KHULNA_KHULNA","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Khulna","Khulna","Khulna, Khulna, Division",2,TRUE,"Routine monitoring","Watch","Watch","Watch",2,1,"Review required",1,18,17,1,7,105,83,30,63,24,51,356,314.076801,41.923199,0.133480724671543,630,677,1307,7707.458595,0.768828651685393,0.741,19.7777777777778,3.67134831460674,2.57142857142857,0.482019892884468,0.517980107115532,273.703,13.338,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_RANGPUR_LALMONIRHAT","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Rangpur","Lalmonirhat","Lalmonirhat, Rangpur, Division",1,FALSE,"Routine monitoring","Watch","Strong","Watch",2,1,"Review required",1,16,6,10,8,90,85,34,22,33,56,320,56.766666,263.233334,4.63711104682456,436,514,950,1256.008335,0.772,0.889,20,2.96875,2,0.458947368421053,0.541052631578947,247.04,14.224,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_KHULNA_MAGURA","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Khulna","Magura","Magura, Khulna, Division",1,FALSE,"Routine monitoring","Watch","Watch","Watch",2,1,"Review required",1,11,5,6,4,67,34,5,23,9,14,152,88.446429,63.553571,0.718554403140459,246,188,434,1429.003572,0.775,0.679,13.8181818181818,2.85526315789474,2.75,0.566820276497696,0.433179723502304,117.8,7.469,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_DHAKA_GOPALGANJ","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Dhaka","Gopalganj","Gopalganj, Dhaka, Division",1,FALSE,"Priority division","Watch","Watch","Watch",2,1,"Review required",1,8,6,2,4,30,24,9,7,16,9,95,74.700708,20.299292,0.271741627937449,188,97,285,2348.479986,0.776,0.649,11.875,3,2,0.659649122807018,0.340350877192982,73.72,5.192,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_RAJSHAHI_NAOGAON","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Rajshahi","Naogaon","Naogaon, Rajshahi, Division",1,FALSE,"Routine monitoring","Watch","Strong","Watch",2,1,"Review required",1,7,12,-5,3,54,36,6,18,18,12,144,279.847617,-135.847617,-0.485434246166906,286,341,627,6322.119054,0.789,0.885,20.5714285714286,4.35416666666667,2.33333333333333,0.456140350877193,0.543859649122807,113.616,6.195,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_CHATTOGRAM_CHANDPUR","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Chattogram","Chandpur","Chandpur, Chattogram, Division",1,FALSE,"Priority division","Watch","Watch","Watch",2,1,"Review required",1,7,8,-1,4,42,22,5,16,18,9,112,126.107142,-14.107142,-0.111866320783005,89,205,294,3109.628571,0.796,0.668,16,2.625,1.75,0.302721088435374,0.697278911564626,89.152,4.676,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_DHAKA_MADARIPUR","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Dhaka","Madaripur","Madaripur, Dhaka, Division",1,FALSE,"Priority division","Watch","Watch","Watch",2,1,"Review required",1,12,5,7,3,68,55,31,36,35,20,245,136.347756,108.652244,0.796875923649231,352,462,814,4028.88141,0.809,0.694,20.4166666666667,3.32244897959184,4,0.432432432432432,0.567567567567568,198.205,8.328,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_DHAKA_MANIKGANJ","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Dhaka","Manikganj","Manikganj, Dhaka, Division",1,FALSE,"Priority division","Watch","Strong","Watch",2,1,"Review required",1,8,9,-1,4,58,47,16,17,17,28,183,128.840343,54.159657,0.420362564542381,255,370,625,2921.643612,0.815,0.895,22.875,3.41530054644809,2,0.408,0.592,149.145,7.16,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_KHULNA_KUSHTIA","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Khulna","Kushtia","Kushtia, Khulna, Division",1,FALSE,"Routine monitoring","Watch","Strong","Watch",2,1,"Review required",1,11,8,3,4,66,74,25,31,41,18,255,182.894643,72.105357,0.394245319694793,465,441,906,4079.184891,0.817,0.835,23.1818181818182,3.55294117647059,2.75,0.513245033112583,0.486754966887417,208.335,9.185,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_RAJSHAHI_PABNA","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Rajshahi","Pabna","Pabna, Rajshahi, Division",1,FALSE,"Routine monitoring","Watch","Strong","Watch",2,1,"Review required",1,11,10,1,4,74,62,18,38,13,18,223,152.063724,70.936276,0.466490456330005,226,497,723,3428.049021,0.819,0.888,20.2727272727273,3.24215246636771,2.75,0.312586445366528,0.687413554633472,182.637,9.768,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_RANGPUR_GAIBANDHA","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Rangpur","Gaibandha","Gaibandha, Rangpur, Division",1,FALSE,"Routine monitoring","Watch","Watch","Watch",2,1,"Review required",1,6,8,-2,4,14,12,2,12,22,4,66,103.494828,-37.494828,-0.362286973412816,85,140,225,2740.528662,0.819,0.753,11,3.40909090909091,1.5,0.377777777777778,0.622222222222222,54.054,4.518,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_RANGPUR_KURIGRAM","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Rangpur","Kurigram","Kurigram, Rangpur, Division",1,FALSE,"Routine monitoring","Watch","Strong","Watch",2,1,"Review required",1,8,11,-3,4,28,29,17,51,18,7,150,237.343326,-87.343326,-0.368004137601072,304,323,627,3777.668052,0.824,0.869,18.75,4.18,2,0.484848484848485,0.515151515151515,123.6,6.952,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_CHATTOGRAM_LAKSHMIPUR","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Chattogram","Lakshmipur","Lakshmipur, Chattogram, Division",1,FALSE,"Priority division","Watch","Watch","Watch",2,1,"No major flag",0,8,8,0,3,35,29,14,14,15,23,130,111.374382,18.625618,0.167234310669396,145,283,428,1953.24138,0.827,0.719,16.25,3.29230769230769,2.66666666666667,0.338785046728972,0.661214953271028,107.51,5.752,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_RAJSHAHI_CHAPAINAWABGANJ","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Rajshahi","Chapainawabganj","Chapainawabganj, Rajshahi, Division",1,FALSE,"Routine monitoring","Watch","Strong","Watch",2,1,"Review required",1,9,5,4,3,57,27,9,18,25,15,151,112.687719,38.312281,0.339986303210202,180,274,454,2525.267547,0.834,0.809,16.7777777777778,3.00662251655629,3,0.39647577092511,0.60352422907489,125.934,7.281,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_RAJSHAHI_SIRAJGANJ","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Rajshahi","Sirajganj","Sirajganj, Rajshahi, Division",1,FALSE,"Routine monitoring","Watch","Strong","Watch",2,1,"Review required",1,11,13,-2,3,85,53,28,36,29,17,248,239.015787,8.98421300000001,0.0375883664956408,332,417,749,6211.405263,0.849,0.891,22.5454545454545,3.02016129032258,3.66666666666667,0.443257676902537,0.556742323097463,210.552,9.801,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_CHATTOGRAM_CHATTOGRAM","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Chattogram","Chattogram","Chattogram, Chattogram, Division",2,TRUE,"Priority division","On track","Watch","Watch",2,1,"Review required",1,21,20,1,8,191,107,94,91,74,42,599,376.761906,222.238094,0.58986349325879,815,1301,2116,9708.476187,0.856976627712855,0.734190476190476,28.5238095238095,3.53255425709516,2.625,0.385160680529301,0.6148393194707,513.329,15.418,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_RANGPUR_RANGPUR","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Rangpur","Rangpur","Rangpur, Rangpur, Division",1,FALSE,"Routine monitoring","On track","Watch","Watch",2,1,"Review required",1,10,11,-1,5,54,71,9,13,32,17,196,163.108722,32.891278,0.201652478155031,299,371,670,3301.766487,0.862,0.656,19.6,3.41836734693878,2,0.446268656716418,0.553731343283582,168.952,6.56,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_CHATTOGRAM_FENI","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Chattogram","Feni","Feni, Chattogram, Division",1,FALSE,"Priority division","On track","Watch","Watch",2,1,"Review required",1,22,7,15,10,84,104,11,62,30,14,305,124.827378,180.172622,1.4433742411861,433,721,1154,2624.702379,0.864,0.606,13.8636363636364,3.78360655737705,2.2,0.375216637781629,0.624783362218371,263.52,13.332,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_KHULNA_JHENAIDAH","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Khulna","Jhenaidah","Jhenaidah, Khulna, Division",1,FALSE,"Routine monitoring","On track","Watch","Watch",2,1,"Review required",1,10,10,0,3,48,43,12,56,17,16,192,248.529396,-56.529396,-0.227455572297774,335,374,709,6295.717857,0.866,0.619,19.2,3.69270833333333,3.33333333333333,0.472496473906911,0.527503526093089,166.272,6.19,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_MYMENSINGH_SHERPUR","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Mymensingh","Sherpur","Sherpur, Mymensingh, Division",1,FALSE,"Routine monitoring","On track","Watch","Watch",2,1,"Review required",1,5,8,-3,4,28,23,14,28,10,14,117,201.345237,-84.345237,-0.418908528737633,151,227,378,4861.164717,0.887,0.739,23.4,3.23076923076923,1.25,0.3994708994709,0.600529100529101,103.779,3.695,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_MYMENSINGH_MYMENSINGH","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Mymensingh","Mymensingh","Mymensingh, Mymensingh, Division",1,FALSE,"Routine monitoring","On track","Watch","Watch",2,1,"Review required",1,12,17,-5,3,59,42,20,27,33,15,196,308.289684,-112.289684,-0.364234321898361,250,527,777,7285.313754,0.888,0.757,16.3333333333333,3.96428571428571,4,0.321750321750322,0.678249678249678,174.048,9.084,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_DHAKA_GAZIPUR","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Dhaka","Gazipur","Gazipur, Dhaka, Division",1,FALSE,"Priority division","On track","Watch","Watch",2,1,"Review required",1,5,8,-3,3,23,20,12,21,17,8,101,152.364807,-51.364807,-0.337117264881253,178,249,427,2908.308273,0.909,0.714,20.2,4.22772277227723,1.66666666666667,0.416861826697892,0.583138173302108,91.809,3.57,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_DHAKA_NARSINGDI","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Dhaka","Narsingdi","Narsingdi, Dhaka, Division",1,FALSE,"Priority division","On track","Watch","Watch",2,1,"Review required",1,9,8,1,4,43,61,17,45,16,30,212,133.55238,78.44762,0.58739215280177,295,569,864,2932.642842,0.919,0.706,23.5555555555556,4.07547169811321,2.25,0.341435185185185,0.658564814814815,194.828,6.354,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
